stream,department,job_role,company_level,company_name,location,required_skills,cgpa_range
Engineering,Mechanical,Quality Engineer,Startup,Navi,Gurgaon,Six Sigma,5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Vedantu,Pune,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,PhonePe,Coimbatore,Renewable Energy,5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,Ather Energy,Kolkata,"MS Project, Primavera",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Ninjacart,Pune,"MATLAB, DSP",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Razorpay,Mumbai,"CATIA, NX",5.0 - 6.4
Engineering,CSE,Cloud Engineer,Startup,Tiger Analytics,Kolkata,"AWS, Azure, Linux",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Digit Insurance,Chennai,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,PolicyBazaar,Coimbatore,"Sensors, MQTT",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Digit Insurance,Bengaluru,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,ECE,Embedded Engineer,Startup,Unacademy,Hyderabad,"C, Embedded Systems",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Vedantu,Hyderabad,"CATIA, NX",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,PhysicsWallah,Noida,Plant Maintenance,5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,BrowserStack,Ahmedabad,Construction Safety,5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Byjus,Mumbai,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Groww,Pune,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Byjus,Coimbatore,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Postman,Coimbatore,"PLC, SCADA",5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,Navi,Bengaluru,Manufacturing Processes,5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,Ola Electric,Hyderabad,"AutoCAD, Site Management",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Unacademy,Noida,"Deep Learning, NLP",5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,PhysicsWallah,Bengaluru,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Quantiphi,Gurgaon,"CATIA, NX",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Meesho,Bengaluru,"Deep Learning, NLP",5.0 - 6.4
Engineering,AI&DS,Big Data Engineer,Startup,GreyOrange,Kolkata,"Spark, Hadoop",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Zerodha,Coimbatore,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Tiger Analytics,Noida,"Deep Learning, NLP",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Slice,Ahmedabad,"Deep Learning, NLP",5.0 - 6.4
Engineering,CSE,Data Scientist,Startup,Ola Electric,Noida,"Python, ML, Pandas, NumPy",5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,Practo,Pune,"MS Project, Primavera",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Byjus,Kolkata,"CATIA, NX",5.0 - 6.4
Engineering,ECE,VLSI Engineer,Startup,Unacademy,Ahmedabad,"VHDL, Verilog",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Tredence,Mumbai,"ETABS, STAAD",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,BigBasket,Pune,Plant Maintenance,5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Paytm,Bengaluru,Construction Safety,5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,BrowserStack,Mumbai,"MATLAB, DSP",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Navi,Mumbai,"ETABS, STAAD",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,PhonePe,Bengaluru,"Deep Learning, NLP",5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,OfBusiness,Ahmedabad,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,CSE,Data Scientist,Startup,BigBasket,Ahmedabad,"Python, ML, Pandas, NumPy",5.0 - 6.4
Engineering,CSE,Data Analyst,Startup,CARS24,Coimbatore,"Python, SQL, Excel, Power BI",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Zerodha,Gurgaon,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,CSE,Backend Developer,Startup,GreyOrange,Hyderabad,"Java, Spring Boot, APIs",5.0 - 6.4
Engineering,Mechanical,Quality Engineer,Startup,Zerodha,Noida,Six Sigma,5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Spinny,Ahmedabad,"Deep Learning, NLP",5.0 - 6.4
Engineering,CSE,Cloud Engineer,Startup,BigBasket,Noida,"AWS, Azure, Linux",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Delhivery,Kolkata,"MATLAB, DSP",5.0 - 6.4
Engineering,EEE,Power Systems Engineer,Startup,Ola Electric,Noida,Power Generation,5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,Swiggy,Bengaluru,"AutoCAD, Site Management",5.0 - 6.4
Engineering,AI&DS,Big Data Engineer,Startup,Chargebee,Ahmedabad,"Spark, Hadoop",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Ola Electric,Noida,"Estimation, Billing",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Ola Electric,Noida,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Zomato,Coimbatore,"Estimation, Billing",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Udaan,Coimbatore,"ETABS, STAAD",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,InfraMarket,Kolkata,"ETABS, STAAD",5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,CARS24,Gurgaon,"MS Project, Primavera",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Quantiphi,Hyderabad,"Sensors, MQTT",5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,PhonePe,Mumbai,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,Fractal Analytics,Pune,Renewable Energy,5.0 - 6.4
Engineering,CSE,Software Engineer,Startup,InfraMarket,Kolkata,"Python, Java, DSA, OOP",5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Paytm,Ahmedabad,Construction Safety,5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,CARS24,Pune,"SQL, Python",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Urban Company,Mumbai,"CATIA, NX",5.0 - 6.4
Engineering,CSE,Data Scientist,Startup,Swiggy,Hyderabad,"Python, ML, Pandas, NumPy",5.0 - 6.4
Engineering,AI&DS,Big Data Engineer,Startup,Zerodha,Bengaluru,"Spark, Hadoop",5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Delhivery,Chennai,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Paytm,Noida,"PLC, SCADA",5.0 - 6.4
Engineering,ECE,Network Engineer,Startup,OfBusiness,Hyderabad,"Networking, Routing",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Delhivery,Hyderabad,"CATIA, NX",5.0 - 6.4
Engineering,CSE,Cloud Engineer,Startup,Jupiter,Chennai,"AWS, Azure, Linux",5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,InMobi,Bengaluru,"SQL, Python",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Jupiter,Kolkata,"Estimation, Billing",5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,CRED,Kolkata,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Digit Insurance,Mumbai,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,EEE,Maintenance Engineer,Startup,Vedantu,Kolkata,Electrical Maintenance,5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,ACKO,Gurgaon,"AutoCAD, Site Management",5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,BigBasket,Kolkata,"SQL, Python",5.0 - 6.4
Engineering,CSE,ML Engineer,Startup,Chargebee,Noida,"Python, TensorFlow, Scikit-learn",5.0 - 6.4
Engineering,ECE,VLSI Engineer,Startup,Mu Sigma,Coimbatore,"VHDL, Verilog",5.0 - 6.4
Engineering,EEE,Maintenance Engineer,Startup,BigBasket,Ahmedabad,Electrical Maintenance,5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Meesho,Bengaluru,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,GreyOrange,Hyderabad,Plant Maintenance,5.0 - 6.4
Engineering,Mechanical,Quality Engineer,Startup,Groww,Noida,Six Sigma,5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Dunzo,Chennai,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Zerodha,Coimbatore,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,CSE,Cloud Engineer,Startup,Digit Insurance,Ahmedabad,"AWS, Azure, Linux",5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Tredence,Bengaluru,Construction Safety,5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,Navi,Pune,"SQL, Python",5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Fractal Analytics,Coimbatore,"PLC, SCADA",5.0 - 6.4
Engineering,CSE,Software Engineer,Startup,Porter,Gurgaon,"Python, Java, DSA, OOP",5.0 - 6.4
Engineering,AI&DS,Data Scientist,Startup,Delhivery,Hyderabad,"Python, ML, Pandas",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Razorpay,Gurgaon,Plant Maintenance,5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,Porter,Bengaluru,"MS Project, Primavera",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Innovaccer,Chennai,Plant Maintenance,5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Digit Insurance,Bengaluru,"Deep Learning, NLP",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Quantiphi,Chennai,"MATLAB, DSP",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,InMobi,Pune,"MATLAB, DSP",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Fractal Analytics,Coimbatore,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,EEE,Power Systems Engineer,Startup,Nykaa,Coimbatore,Power Generation,5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,Mu Sigma,Mumbai,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,GreyOrange,Ahmedabad,Renewable Energy,5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Vedantu,Mumbai,"PLC, SCADA",5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,Porter,Chennai,Manufacturing Processes,5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Ather Energy,Noida,"PLC, SCADA",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,GreyOrange,Noida,Renewable Energy,5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Digit Insurance,Mumbai,"MATLAB, DSP",5.0 - 6.4
Engineering,CSE,Software Engineer,Startup,InMobi,Pune,"Python, Java, DSA, OOP",5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Delhivery,Pune,Plant Maintenance,5.0 - 6.4
Engineering,AI&DS,ML Engineer,Startup,Nykaa,Noida,"TensorFlow, PyTorch",5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,Slice,Hyderabad,"AutoCAD, Site Management",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,CRED,Kolkata,"ETABS, STAAD",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Meesho,Mumbai,"ETABS, STAAD",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,Nykaa,Ahmedabad,Renewable Energy,5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,InMobi,Gurgaon,"CATIA, NX",5.0 - 6.4
Engineering,ECE,Network Engineer,Startup,Digit Insurance,Kolkata,"Networking, Routing",5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,InMobi,Bengaluru,Manufacturing Processes,5.0 - 6.4
Engineering,Mechanical,Maintenance Engineer,Startup,Mu Sigma,Hyderabad,Plant Maintenance,5.0 - 6.4
Engineering,CSE,Data Scientist,Startup,Chargebee,Bengaluru,"Python, ML, Pandas, NumPy",5.0 - 6.4
Engineering,AI&DS,Data Scientist,Startup,Zerodha,Ahmedabad,"Python, ML, Pandas",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,PolicyBazaar,Ahmedabad,"Estimation, Billing",5.0 - 6.4
Engineering,ECE,Network Engineer,Startup,Paytm,Gurgaon,"Networking, Routing",5.0 - 6.4
Engineering,ECE,Embedded Engineer,Startup,Vedantu,Noida,"C, Embedded Systems",5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,ACKO,Ahmedabad,"MS Project, Primavera",5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,Vedantu,Gurgaon,"PLC, SCADA",5.0 - 6.4
Engineering,AI&DS,Big Data Engineer,Startup,Mu Sigma,Gurgaon,"Spark, Hadoop",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Porter,Ahmedabad,"MATLAB, DSP",5.0 - 6.4
Engineering,EEE,Control Systems Engineer,Startup,PhonePe,Chennai,"PLC, SCADA",5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,Ola Electric,Pune,"SQL, Python",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Zetwerk,Kolkata,"Deep Learning, NLP",5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Innovaccer,Pune,Construction Safety,5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Unacademy,Mumbai,"Deep Learning, NLP",5.0 - 6.4
Engineering,CSE,Software Engineer,Startup,Jupiter,Noida,"Python, Java, DSA, OOP",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Swiggy,Mumbai,"Estimation, Billing",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,Zomato,Mumbai,Renewable Energy,5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,OfBusiness,Gurgaon,Manufacturing Processes,5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Spinny,Coimbatore,"Sensors, MQTT",5.0 - 6.4
Engineering,AI&DS,ML Engineer,Startup,Zomato,Coimbatore,"TensorFlow, PyTorch",5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,Innovaccer,Noida,"AutoCAD, Site Management",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Urban Company,Noida,"ETABS, STAAD",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Ather Energy,Ahmedabad,"Deep Learning, NLP",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Porter,Pune,"CATIA, NX",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,PolicyBazaar,Gurgaon,"Estimation, Billing",5.0 - 6.4
Engineering,CSE,Full Stack Developer,Startup,BigBasket,Gurgaon,"HTML, CSS, JavaScript, React",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Nykaa,Noida,"ETABS, STAAD",5.0 - 6.4
Engineering,CSE,Data Analyst,Startup,CRED,Kolkata,"Python, SQL, Excel, Power BI",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,GreyOrange,Chennai,"CATIA, NX",5.0 - 6.4
Engineering,AI&DS,ML Engineer,Startup,Dunzo,Noida,"TensorFlow, PyTorch",5.0 - 6.4
Engineering,ECE,VLSI Engineer,Startup,PolicyBazaar,Kolkata,"VHDL, Verilog",5.0 - 6.4
Engineering,ECE,Network Engineer,Startup,Zomato,Coimbatore,"Networking, Routing",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Ninjacart,Kolkata,"Estimation, Billing",5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,CRED,Kolkata,Construction Safety,5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,Zetwerk,Hyderabad,Renewable Energy,5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,Slice,Mumbai,Renewable Energy,5.0 - 6.4
Engineering,Civil,Planning Engineer,Startup,Nykaa,Hyderabad,"MS Project, Primavera",5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,Zerodha,Hyderabad,"AutoCAD, Site Management",5.0 - 6.4
Engineering,Mechanical,Production Engineer,Startup,Groww,Chennai,Manufacturing Processes,5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,Unacademy,Coimbatore,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,BrowserStack,Chennai,"CATIA, NX",5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,Nykaa,Ahmedabad,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,CSE,Data Analyst,Startup,Slice,Pune,"Python, SQL, Excel, Power BI",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Tiger Analytics,Hyderabad,"MATLAB, DSP",5.0 - 6.4
Engineering,AI&DS,ML Engineer,Startup,Razorpay,Mumbai,"TensorFlow, PyTorch",5.0 - 6.4
Engineering,AI&DS,ML Engineer,Startup,Ninjacart,Bengaluru,"TensorFlow, PyTorch",5.0 - 6.4
Engineering,AI&DS,Data Analyst,Startup,InMobi,Bengaluru,"SQL, Python",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,InfraMarket,Kolkata,"Estimation, Billing",5.0 - 6.4
Engineering,AI&DS,ML Engineer,Startup,Tiger Analytics,Noida,"TensorFlow, PyTorch",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,PhonePe,Pune,"Estimation, Billing",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Chargebee,Pune,"Sensors, MQTT",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Jupiter,Bengaluru,"Estimation, Billing",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Meesho,Coimbatore,"Sensors, MQTT",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,CARS24,Pune,"Deep Learning, NLP",5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,BrowserStack,Mumbai,Renewable Energy,5.0 - 6.4
Engineering,CSE,Data Analyst,Startup,Paytm,Bengaluru,"Python, SQL, Excel, Power BI",5.0 - 6.4
Engineering,AI&DS,Data Scientist,Startup,BrowserStack,Chennai,"Python, ML, Pandas",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,Practo,Mumbai,"Deep Learning, NLP",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Nykaa,Mumbai,"Sensors, MQTT",5.0 - 6.4
Engineering,ECE,Signal Processing Engineer,Startup,Jupiter,Gurgaon,"MATLAB, DSP",5.0 - 6.4
Engineering,ECE,Network Engineer,Startup,Swiggy,Chennai,"Networking, Routing",5.0 - 6.4
Engineering,AI&DS,AI Engineer,Startup,BrowserStack,Chennai,"Deep Learning, NLP",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,OfBusiness,Mumbai,"Estimation, Billing",5.0 - 6.4
Engineering,EEE,Power Systems Engineer,Startup,Udaan,Mumbai,Power Generation,5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Zerodha,Gurgaon,"ETABS, STAAD",5.0 - 6.4
Engineering,EEE,Electrical Design Engineer,Startup,Groww,Kolkata,"AutoCAD, Power Systems",5.0 - 6.4
Engineering,AI&DS,Data Scientist,Startup,Practo,Kolkata,"Python, ML, Pandas",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Zetwerk,Mumbai,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,BrowserStack,Kolkata,"AutoCAD, Site Management",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Digit Insurance,Hyderabad,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Razorpay,Coimbatore,"ETABS, STAAD",5.0 - 6.4
Engineering,CSE,Data Analyst,Startup,Unacademy,Gurgaon,"Python, SQL, Excel, Power BI",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,PhysicsWallah,Mumbai,"CATIA, NX",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Innovaccer,Chennai,"Sensors, MQTT",5.0 - 6.4
Engineering,ECE,IoT Engineer,Startup,Udaan,Kolkata,"Sensors, MQTT",5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,InfraMarket,Ahmedabad,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Ather Energy,Mumbai,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Udaan,Hyderabad,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,Civil,Site Engineer,Startup,Navi,Ahmedabad,"AutoCAD, Site Management",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Slice,Coimbatore,"ETABS, STAAD",5.0 - 6.4
Engineering,EEE,Maintenance Engineer,Startup,Practo,Ahmedabad,Electrical Maintenance,5.0 - 6.4
Engineering,CSE,Data Scientist,Startup,Quantiphi,Kolkata,"Python, ML, Pandas, NumPy",5.0 - 6.4
Engineering,CSE,DevOps Engineer,Startup,Swiggy,Kolkata,"Docker, Kubernetes, CI/CD",5.0 - 6.4
Engineering,Civil,Quantity Surveyor,Startup,Spinny,Bengaluru,"Estimation, Billing",5.0 - 6.4
Engineering,Mechanical,CAD Engineer,Startup,Zomato,Ahmedabad,"CATIA, NX",5.0 - 6.4
Engineering,Mechanical,Design Engineer,Startup,Meesho,Ahmedabad,"AutoCAD, SolidWorks",5.0 - 6.4
Engineering,Civil,Structural Engineer,Startup,Urban Company,Mumbai,"ETABS, STAAD",5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Nykaa,Mumbai,Construction Safety,5.0 - 6.4
Engineering,EEE,Energy Analyst,Startup,Vedantu,Mumbai,Renewable Energy,5.0 - 6.4
Engineering,EEE,Maintenance Engineer,Startup,PhysicsWallah,Bengaluru,Electrical Maintenance,5.0 - 6.4
Engineering,Civil,Safety Engineer,Startup,Vedantu,Coimbatore,Construction Safety,5.0 - 6.4
